mention_index,source_n,bibliography_entry,candidate_files,best_score,best_source_path,best_source_line,best_source_preview,context,verdict,reason
44,33,Lipiecki et al. Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF). arXiv:2508.11372. https://arxiv.org/abs/2508.11372,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_33_1_c3298c26a1.txt | docs\thesis\sources\2508.11372-thief-day-ahead-electricity-price-forecasting.pdf,0.6739,docs\thesis\sources\2508.11372-thief-day-ahead-electricity-price-forecasting.pdf,1,tabular foundation model based on a 12-layer 72 million-parameter transformer architecture zhang and robinson 2025 to our best knowledge we are the first to use pretrained foundation models not only for epf but also for temporal hierarchies as such we complement the literature that has focused on evaluating the benefits of thief with conventional relatively small base forecasting methods we find that temporal reconciliation leads to significant improvements in terms of the mean absolute error ma," loss і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",supported,strong multilingual semantic match in cited source candidate
45,34,Meyer et al. Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges. arXiv:2510.13654. https://arxiv.org/abs/2510.13654,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_34_1_348c494f11.txt,0.5754,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_34_1_348c494f11.txt,1,of time series foundation models un known information leakage challenges authors marcel meyer sascha kaltenpoth kevin zalipski oliver m ller view a pdf of the paper titled rethinking evaluation in the era of time series foundation models un known information leakage challenges by marcel meyer and 3 other authors view pdf html experimental abstract time series foundation models tsfms represent a new paradigm for time-series forecasting promising zero-shot predictions without the need for task-spe,"і exogenous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
46,35,Dange and Sarawagi. TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates. arXiv:2509.13906. https://arxiv.org/abs/2509.13906,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_35_1_840b4a7ddf.txt,0.5452,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_35_1_840b4a7ddf.txt,1,pdf of the paper titled tfmadapter lightweight instance-level adaptation of foundation models for forecasting with covariates by afrin dange and 1 other authors view pdf html experimental abstract time series foundation models tsfms have recently achieved state-of-the-art performance in univariate forecasting on new time series simply by conditioned on a brief history of past values their success demonstrates that large-scale pretraining across diverse domains can acquire the inductive bias to g,"enous-aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
47,36,Fu et al. Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting. arXiv:2602.17634. https://arxiv.org/abs/2602.17634,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_36_1_5ac9d0a3cc.txt,0.5365,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_36_1_5ac9d0a3cc.txt,1,pdf of the paper titled reverso efficient time series foundation models for zero-shot forecasting by xinghong fu and 3 other authors view pdf html experimental abstract learning time series foundation models has been shown to be a promising approach for zero-shot time series forecasting across diverse time series domains insofar as scaling has been a critical driver of performance of foundation models in other modalities such as language and vision much recent work on time series foundation mode,"aware transformer architectures (Jiang et al., 2024 [28]; Wang et al., 2024 [29]; Yu et al., 2026 [30]; Jin and Blanco-Encomienda, 2026 [31]). Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не причину для зміни поточного headline result [32], [33], [34], [35], [36]. Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
48,12,"Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_12_1_a33ebc2400_http_403.txt | docs\thesis\sources\1710.08005v5-Smart “Predict, then Optimize” Adam N. Elmachtoub.pdf",0.7364,"docs\thesis\sources\1710.08005v5-Smart “Predict, then Optimize” Adam N. Elmachtoub.pdf",1,machine learning and optimization are used to make decision s typically the optimization model is used to generate decisions while a machine learnin g tool is used to generate a prediction model that predicts key unknown parameters of th e optimization model due to the inherent complexity of both tasks a broad purpose appro ach that is often employed in analytics practice is the predict-then-optimize paradigm for example consider a vehicle routing problem that may be s olved several times a day ,"Decision-Focused Learning у повному сенсі може означати навчання моделі через differentiable optimization layer або task-aware surrogate loss. Smart Predict-then-Optimize у Elmachtoub and Grigas (2022) формалізує проблему розриву між prediction loss і downstream objective [12]. Mandi et al. (2024) систематизують DFL як напрям, у якому learning model і constrained optimization problem поєднуються через decision loss, differentiable optimization, surrogate gradients або gradient-free methods [14]. Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-awa",supported,strong multilingual semantic match in cited source candidate
49,14,"Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565",analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_14_1_ea750e7747.txt | docs\thesis\sources\2307.13565v4-decision-focused-learning-survey.pdf | docs\thesis\sources\2406.17085v2-perturbed-decision-focused-learning-energy-storage.pdf,0.7595,docs\thesis\sources\2307.13565v4-decision-focused-learning-survey.pdf,1,pre- dictive models and consequently high-quality decisions indeed if the predictions of the parameters were perfectly accurate they would enable the correct specification of co models which can be solved to yield fully optimal decisions however ml models often fall short of perfect accuracy leading to suboptimal decisions due to propagated prediction errors thus in many applications the predictive and prescriptive modelings are not isolated but rather deeply interconnected and hence should idea,"Decision-Focused Learning у повному сенсі може означати навчання моделі через differentiable optimization layer або task-aware surrogate loss. Smart Predict-then-Optimize у Elmachtoub and Grigas (2022) формалізує проблему розриву між prediction loss і downstream objective [12]. Mandi et al. (2024) систематизують DFL як напрям, у якому learning model і constrained optimization problem поєднуються через decision loss, differentiable optimization, surrogate gradients або gradient-free methods [14]. Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-awa",supported,strong multilingual semantic match in cited source candidate
50,13,Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_13_1_3d7ac8d729.txt | docs\thesis\sources\2305.00362v1-electricity-price-prediction-ess-arbitrage-dfl.pdf,0.7387,docs\thesis\sources\2305.00362v1-electricity-price-prediction-ess-arbitrage-dfl.pdf,1,1 electricity price prediction for energy storage system arbitrage a decision-focused approach linwei sang yinliang xu senior member ieee huan long member ieee qinran hu senior member ieee hongbin sun fellow ieee abstract electricity price prediction plays a vital role in energy storage system ess management current prediction models focus on reducing prediction errors but overlook their impact on downstream decision-making so this paper proposes a decision-focused electricity price prediction a,"через decision loss, differentiable optimization, surrogate gradients або gradient-free methods [14]. Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",supported,strong multilingual semantic match in cited source candidate
51,37,Persak and Anjos. Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture. arXiv:2405.14719. https://arxiv.org/abs/2405.14719,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_37_1_03c88c7358.txt | docs\thesis\sources\2405.14719v2.pdf,0.6794,docs\thesis\sources\2405.14719v2.pdf,1,but note that at the cost of one extra solver call per stage substantial the intertemporal gradient at that stage could be set to0 for state variables not exhibiting an intertemporal effect in the optimal solution given true parameters 4 experiments 4 1 battery storage the battery storage arbitrage task is an evolved version of the third experiment in donti et al 2017 the code implementation is available here at each stage a decision has to be made about how much to charge or discharge a battery,"decision loss, differentiable optimization, surrogate gradients або gradient-free methods [14]. Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",supported,strong multilingual semantic match in cited source candidate
52,38,"Yi, Alghumayjan, and Xu. Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage. arXiv:2406.17085. https://arxiv.org/abs/2406.17085",analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_38_1_56be92e239.txt | docs\thesis\sources\2307.13565v4-decision-focused-learning-survey.pdf | docs\thesis\sources\2406.17085v2-perturbed-decision-focused-learning-energy-storage.pdf | docs\thesis\sources\2505.01551v2=Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage.pdf,0.7576,docs\thesis\sources\2406.17085v2-perturbed-decision-focused-learning-energy-storage.pdf,1,price predictions using historical features x and then the storage model makes the optimal arbitrage decisions by solving 1 pt bt argmax pt bt x tx t 1 t pt bt u pt bt g x 1a s t 0 pt bt p 1b pt 0 if t 0 1c 0 et e 1d et et 1 pt bt 1e where pt and bt are discharge and charge power at time t while pt and bt are the optimized storage dispatch decisions t is the time horizon t is the predicted real-time price et is the state-of-charge soc p is the power rating of storage is the storage efficiency e ,"on loss, differentiable optimization, surrogate gradients або gradient-free methods [14]. Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",supported,strong multilingual semantic match in cited source candidate
53,39,Madahi et al. Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism. arXiv:2401.00015. https://arxiv.org/abs/2401.00015,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_39_1_534f16dc97.txt,0.6100,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_39_1_534f16dc97.txt,1,view a pdf of the paper titled distributional reinforcement learning-based energy arbitrage strategies in imbalance settlement mechanism by seyed soroush karimi madahi and 2 other authors view pdf html experimental abstract growth in the penetration of renewable energy sources makes supply more uncertain and leads to an increase in the system imbalance this trend together with the single imbalance pricing opens an opportunity for balance responsible parties brps to perform energy arbitrage in th,"e у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [13], [37], [38]. Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
54,40,Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. https://arxiv.org/abs/1910.12430,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_40_1_0fa8f62346.txt | docs\thesis\sources\1910.12430v1.pdf,0.5579,docs\thesis\sources\1910.12430v1.pdf,1,quadratic costs 2018 arxiv 1811 00168 14 d belanger b yang and a mccallum end-to-end learning for structured prediction energy networks in intl conf machine learning 2017 15 a ben-tal b golany a nemirovski and j p vial retailer-supplier exible commit- ments contracts a robust optimization approach in manufacturing service operations management 7 3 2005 pp 248 271 16 d p bertsekas dynamic programming and optimal control 3rd ed v ol 1 athena scienti c belmont 2005 17 d bertsimas and a thiele a rob," RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
55,41,Amos and Kolter. OptNet: Differentiable Optimization as a Layer in Neural Networks. Proceedings of Machine Learning Research 70:136-145. https://proceedings.mlr.press/v70/amos17a.html,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_41_1_01365a43ab.txt | docs\thesis\sources\amos17a-optnet-differentiable-optimization-layer.pdf,0.5327,docs\thesis\sources\amos17a-optnet-differentiable-optimization-layer.pdf,1,data manifold and high elsewhere lecun et al 2006 in recent years there has been a strong push to fur- ther incorporate structured prediction methods like condi- tional random elds as the last layer of a deep network architecture peng et al 2009 zheng et al 2015 chen et al 2015 as well as in deeper energy-based architec- tures belanger mccallum 2016 belanger et al 2017 amos et al 2017 learning in this context requires ob- served data which isn't present in some of the contexts we consider in thi,"я energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
56,42,Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_42_1_f17c55541f.txt | docs\thesis\sources\2505.01551v2=Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage.pdf,0.5811,docs\thesis\sources\2505.01551v2=Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage.pdf,1,1 price prediction based on input features 2 bid design based on price predictions and 3 market clearing based on designed bids we link the storage opportunity dual variable with bid- ding design in an end-to-end framework and prove this produces a differentiable implicit layer we enable efficient backpropagation for the decision- focused loss function through the implicit function theo- rem and perturbation methods numerical experiments on nyiso datasets demonstrate that our approach outperform,"39]). У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [40], [41]. Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [42].",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
57,20,Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_20_1_37573c9be9.txt | docs\thesis\sources\2106.01345v2.pdf,0.6949,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_20_1_37573c9be9.txt,1,outputs the optimal actions by leveraging a causally masked transformer by conditioning an autoregressive model on the desired return reward past states and actions our decision transformer model can generate future actions that achieve the desired return despite its simplicity decision transformer matches or exceeds the performance of state-of-the-art model-free offline rl baselines on atari openai gym and key-to-door tasks comments first two authors contributed equally last two authors advised,"Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може моделювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [20]. Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [21]. Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [43]. У поточній роботі DT має тільки research-shadow статус. V13 source-readiness gate не дозволяє трактувати DT або LAVA як production-ready, доки немає explicit OREE DAM/IDM source/publication evidence for preview і достатньої кількості permitted training rows; market-submission receipts залишаються окремою execution-ready вимогою. Тому DT використовується для перевірки майбутньої архітектурної можливості, а не для headline result.",supported,strong multilingual semantic match in cited source candidate
58,21,Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_21_1_f9ffc91868.txt | docs\thesis\sources\2305.14550v1-sequence-modeling-offline-rl.pdf,0.7473,docs\thesis\sources\2305.14550v1-sequence-modeling-offline-rl.pdf,1,includes the decision transformer chen et al 2021 and the trajectory transformer janner et al 2021 these algorithms train autoregressive sequence models that map the history of the trajectory to the next action in the decision transformer dt model the learned policy produces action distributions conditioned on trajectory history and desired returns-to-go rt pt t t rt this leads to the following trajectory representation used for both training and inference r1 s1 a1 r2 s2 a2 rt st at conditioning,"Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може моделювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [20]. Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [21]. Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [43]. У поточній роботі DT має тільки research-shadow статус. V13 source-readiness gate не дозволяє трактувати DT або LAVA як production-ready, доки немає explicit OREE DAM/IDM source/publication evidence for preview і достатньої кількості permitted training rows; market-submission receipts залишаються окремою execution-ready вимогою. Тому DT використовується для перевірки майбутньої архітектурної можливості, а не для headline result.",supported,strong multilingual semantic match in cited source candidate
59,43,Hugging Face. Decision Transformer model documentation. https://huggingface.co/docs/transformers/model_doc/decision_transformer,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_43_1_75cb21d0e6.txt | docs\thesis\sources\huggingface-decision-transformer-docs.md,0.5954,docs\thesis\sources\huggingface-decision-transformer-docs.md,1,that makes decision transformer a future offline research primitive for bess dispatch trajectories not a current live controller claim boundary include as implementation reference for a future offline dt candidate do not cite as evidence that the current project has a deployed decision transformer controller do not use it to weaken the frozen strict_similar_day' lp oracle promotion gate,"Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може моделювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [20]. Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [21]. Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [43]. У поточній роботі DT має тільки research-shadow статус. V13 source-readiness gate не дозволяє трактувати DT або LAVA як production-ready, доки немає explicit OREE DAM/IDM source/publication evidence for preview і достатньої кількості permitted training rows; market-submission receipts залишаються окремою execution-ready вимогою. Тому DT використовується для перевірки майбутньої архітектурної можливості, а не для headline result.",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
60,44,ENTSO-E Transparency Platform. Electricity Market Transparency. https://www.entsoe.eu/data/transparency-platform/,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_44_1_13c967d756.txt,0.5780,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_44_1_13c967d756.txt,1,future and further facilitates the development of efficient and competitive energy markets across europe such developments support the steady evolution of electricity markets across europe in terms of integration competition the entso-e transparency platform in accordance with regulation 543 2013 the entso-e transparency platform was launched on 5 january 2015 entso-e also published the manual of procedures which provides information necessary to submit or extract data to or from the platform fo,"M/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [44], [45], [46], [47], [48], [1], [2], [3], [4], [8]. Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [49], [50], [51], [52]. Погодні ознаки також потребують явного source contract: для цього релевантні документації Open-Meteo Forecast API та Historical Weather API, але ці джерела не скасовують вимоги пере",partially-supported,topical/source match present; exact claim scope should be human spot-checked for grouped or broad citations
61,45,Open Power System Data. Open European power-system data platform. https://open-power-system-data.org/,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_45_1_5745569c31.txt,0.4144,analysis_outputs\thesis_similarity\final_2026-06-08_deep\downloaded_web_sources\source_45_1_5745569c31.txt,1,open power system data a platform for open data of the european power system about background and history it approach step-by-step user guide legal context publications contribute data packages overview conventional power plants national generation capacity renewable power plants time series weather data contributed household data contributed wind solar profiles contributed when2heat team lion hirth neon jonathan m hlenpfordt neon ingmar schlecht neon juliane reimann neon jens weibezahn tu berli,"source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [44], [45], [46], [47], [48], [1], [2], [3], [4], [8]. Для forecast layer зовнішні ряди можуть бути корисними як exogenous covariates, але лише після licensing, timezone/DST, currency, market-rule, publication-time availability і domain-shift checks. Роботи Li and Becker (2021), Redhu and Bremdal (2023) та Mascarenhas et al. (2025) підтримують ідею neighboring-zone або cross-border features для EPF, а документація Nixtla пояснює технічну підтримку exogenous variables у NeuralForecast/NBEATSx [49], [50], [51], [52]. Погодні ознаки також потребують явного source contract: для цього релевантні документації Open-Meteo Forecast API та Historical Weather API, але ці джерела не скасовують вимоги перевіряти",needs-human,"low semantic match; broad/governance citation, landing page, or incomplete full text"
