"mention_index","source","citation","claim_context","source_entry","support_verdict","action","notes"
"30","18","[[18]](#source-18)","Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [[17]](#source-17). Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [[18]](#source-18), [[22]](#source-22), [[23]](#source-23), [[24]](#source-24).","Hesse et al. Ageing and efficiency aware battery dispatch for arbitrage markets using mixed integer linear programming. DOI: 10.3390/en12060999. https://doi.org/10.3390/en12060999","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"31","22","[[22]](#source-22)","Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [[17]](#source-17). Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [[18]](#source-18), [[22]](#source-22), [[23]](#source-23), [[24]](#source-24).","Maheshwari et al. Optimizing the operation of energy storage using a non-linear lithium-ion battery degradation model. DOI: 10.1016/j.apenergy.2019.114360. https://doi.org/10.1016/j.apenergy.2019.114360","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"32","23","[[23]](#source-23)","Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [[17]](#source-17). Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [[18]](#source-18), [[22]](#source-22), [[23]](#source-23), [[24]](#source-24).","Kumtepeli et al. Energy Arbitrage Optimization With Battery Storage: 3D-MILP for Electro-Thermal Performance and Semi-Empirical Aging Models. DOI: 10.1109/ACCESS.2020.3035504. https://doi.org/10.1109/ACCESS.2020.3035504","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"33","24","[[24]](#source-24)","Для BESS schedule LP є природним базовим інструментом: він може задати баланс енергії, обмеження SOC, потужність заряду/розряду, efficiency і простий економічний objective. Park et al. (2017) прямо формулюють short-term ESS scheduling через лінійні обмеження SOC, power range, energy limits та efficiency [[17]](#source-17). Hesse et al. (2019), Maheshwari et al. (2020), Kumtepeli et al. (2020) і Cao et al. (2020) показують, що storage dispatch може бути розширений degradation-aware або learning-based компонентами, але це підвищує вимоги до параметризації батареї та якості даних [[18]](#source-18), [[22]](#source-22), [[23]](#source-23), [[24]](#source-24).","Cao et al. Deep Reinforcement Learning-Based Energy Storage Arbitrage With Accurate Lithium-Ion Battery Degradation Model. DOI: 10.1109/TSG.2020.2986333. https://doi.org/10.1109/TSG.2020.2986333","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"34","25","[[25]](#source-25)","У роботі LP використовується не як тема окремого математичного дослідження, а як deterministic evaluator, який дає однаковий scoring contour для всіх forecast і selector candidates. Це важливо, бо порівняння моделей без спільного optimization contour може бути несправедливим. Vykhodtsev et al. (2022) додатково пояснюють, що спрощене power-energy представлення батареї є придатним для techno-economic studies, але не замінює повний electrochemical digital twin [[25]](#source-25).","Vykhodtsev et al. A review of modelling approaches to characterize lithium-ion battery energy storage systems in techno-economic analyses of power systems. DOI: 10.1016/j.rser.2022.112584. https://doi.org/10.1016/j.rser.2022.112584","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"35","26","[[26]](#source-26)","Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value стає regret. Такий підхід дозволяє говорити не ""модель має меншу похибку"", а ""schedule втрачає менше економічної цінності відносно oracle"". Економічні припущення про storage cost/performance підтримуються NREL Storage Futures та NREL ATB матеріалами [[26]](#source-26), [[27]](#source-27).","Augustine and Blair. Storage Futures Study: Storage Technology Modeling Input Data Report. NREL/TP-5700-78694. https://www.nrel.gov/docs/fy21osti/78694.pdf","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. NREL target was externally confirmed because local DNS failed."
"36","27","[[27]](#source-27)","Strict LP/oracle evaluator виконує дві ролі. По-перше, він оцінює value вибраного schedule. По-друге, він обчислює oracle reference, тобто найкращу offline value при realized prices. Різниця між oracle value і selected value стає regret. Такий підхід дозволяє говорити не ""модель має меншу похибку"", а ""schedule втрачає менше економічної цінності відносно oracle"". Економічні припущення про storage cost/performance підтримуються NREL Storage Futures та NREL ATB матеріалами [[26]](#source-26), [[27]](#source-27).","NREL. 2023 Annual Technology Baseline: Utility-Scale PV-Plus-Battery. https://atb.nrel.gov/electricity/2023/residential_battery_storage/utility-scale_pv-plus-battery","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. NREL target was externally confirmed because local DNS failed."
"37","15","[[15]](#source-15)","NBEATSx у роботі має статус forecast-layer choice/adaptor. Olivares et al. (2023) описують NBEATSx як neural basis expansion model з exogenous variables для electricity price forecasting [[15]](#source-15). Це релевантно для DAM/BESS, бо цінові ряди мають денні, тижневі, сезонні та регуляторні компоненти, а також реагують на погодні й системні фактори. Проте сам факт використання NBEATSx не є доказом кращого arbitrage result; його output перевіряється через LP/regret.","Olivares et al. Neural basis expansion analysis with exogenous variables: Forecasting electricity prices with NBEATSx. DOI: 10.1016/j.ijforecast.2022.03.001. https://arxiv.org/abs/2104.05522","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"38","16","[[16]](#source-16)","Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [[16]](#source-16). TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [[28]](#source-28); Wang et al., 2024 [[29]](#source-29); Yu et al., 2026 [[30]](#source-30); Jin and Blanco-Encomienda, 2026 [[31]](#source-31)).","Lim et al. Temporal Fusion Transformers for Interpretable Multi-horizon Time Series Forecasting. DOI: 10.48550/arXiv.1912.09363. https://arxiv.org/abs/1912.09363","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"39","28","[[28]](#source-28)","Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [[16]](#source-16). TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [[28]](#source-28); Wang et al., 2024 [[29]](#source-29); Yu et al., 2026 [[30]](#source-30); Jin and Blanco-Encomienda, 2026 [[31]](#source-31)).","Jiang et al. Probabilistic electricity price forecasting based on penalized temporal fusion transformer. DOI: 10.1002/for.3084. https://doi.org/10.1002/for.3084","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"40","29","[[29]](#source-29)","Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [[16]](#source-16). TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [[28]](#source-28); Wang et al., 2024 [[29]](#source-29); Yu et al., 2026 [[30]](#source-30); Jin and Blanco-Encomienda, 2026 [[31]](#source-31)).","Wang et al. TimeXer: Empowering Transformers for Time Series Forecasting with Exogenous Variables. DOI: 10.48550/arXiv.2402.19072. https://arxiv.org/abs/2402.19072","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"41","30","[[30]](#source-30)","Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [[16]](#source-16). TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [[28]](#source-28); Wang et al., 2024 [[29]](#source-29); Yu et al., 2026 [[30]](#source-30); Jin and Blanco-Encomienda, 2026 [[31]](#source-31)).","Yu et al. Deep Learning for Electricity Price Forecasting: A Review of Day-Ahead, Intraday, and Balancing Electricity Markets. DOI: 10.48550/arXiv.2602.10071. https://arxiv.org/abs/2602.10071","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"42","31","[[31]](#source-31)","Temporal Fusion Transformer, запропонований Lim et al. (2021), є другим важливим forecast-layer напрямом [[16]](#source-16). TFT підтримує multi-horizon forecasting, static covariates, known future inputs, observed historical inputs, variable selection та attention-based interpretability. Probabilistic TFT та інші сучасні deep-learning EPF роботи розширюють цей напрям у бік uncertainty-aware forecasting, quantile loss і exogenous-aware transformer architectures (Jiang et al., 2024 [[28]](#source-28); Wang et al., 2024 [[29]](#source-29); Yu et al., 2026 [[30]](#source-30); Jin and Blanco-Encomienda, 2026 [[31]](#source-31)).","Jin and Blanco-Encomienda. Seasonal Decomposition-Enhanced Deep Learning Architecture for Probabilistic Forecasting. DOI: 10.1002/for.70065. https://doi.org/10.1002/for.70065","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"43","32","[[32]](#source-32)","Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не підставу для зміни поточного headline result [[32]](#source-32), [[33]](#source-33), [[34]](#source-34), [[35]](#source-35), [[36]](#source-36). Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.","Yu et al. PriceFM: Foundation Model for Probabilistic Electricity Price Forecasting. arXiv:2508.04875. https://arxiv.org/abs/2508.04875","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"44","33","[[33]](#source-33)","Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не підставу для зміни поточного headline result [[32]](#source-32), [[33]](#source-33), [[34]](#source-34), [[35]](#source-35), [[36]](#source-36). Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.","Lipiecki et al. Stealing Accuracy: Predicting Day-ahead Electricity Prices with Temporal Hierarchy Forecasting (THieF). arXiv:2508.11372. https://arxiv.org/abs/2508.11372","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"45","34","[[34]](#source-34)","Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не підставу для зміни поточного headline result [[32]](#source-32), [[33]](#source-33), [[34]](#source-34), [[35]](#source-35), [[36]](#source-36). Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.","Meyer et al. Rethinking Evaluation in the Era of Time Series Foundation Models: (Un)known Information Leakage Challenges. arXiv:2510.13654. https://arxiv.org/abs/2510.13654","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"46","35","[[35]](#source-35)","Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не підставу для зміни поточного headline result [[32]](#source-32), [[33]](#source-33), [[34]](#source-34), [[35]](#source-35), [[36]](#source-36). Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.","Dange and Sarawagi. TFMAdapter: Lightweight Instance-Level Adaptation of Foundation Models for Forecasting with Covariates. arXiv:2509.13906. https://arxiv.org/abs/2509.13906","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"47","36","[[36]](#source-36)","Окремий висновок із сучасної EPF-літератури стосується foundation models і temporal hierarchy. PriceFM, THieF, TSFM leakage studies, TFMAdapter і Reverso показують активний розвиток time-series foundation-model напряму, але ці джерела у роботі мають статус future/research context, а не підставу для зміни поточного headline result [[32]](#source-32), [[33]](#source-33), [[34]](#source-34), [[35]](#source-35), [[36]](#source-36). Current evidence залишається прив'язаною до українського DAM benchmark і V2/V2+ schedule/value selector.","Fu et al. Reverso: Efficient Time Series Foundation Models for Zero-shot Forecasting. arXiv:2602.17634. https://arxiv.org/abs/2602.17634","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"48","12","[[12]](#source-12)","Decision-Focused Learning у повному сенсі може означати навчання моделі через differentiable optimization layer або task-aware surrogate loss. Smart Predict-then-Optimize у Elmachtoub and Grigas (2022) формалізує проблему розриву між prediction loss і downstream objective [[12]](#source-12). Mandi et al. (2024) систематизують DFL як напрям, у якому learning model і constrained optimization problem поєднуються через decision loss, differentiable optimization, surrogate gradients або gradient-free methods [[14]](#source-14).","Elmachtoub and Grigas. Smart ""Predict, then Optimize"". DOI: 10.1287/mnsc.2020.3922. https://doi.org/10.1287/mnsc.2020.3922","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass. Link audit has publisher anti-bot 403, but DOI metadata/source topic remain consistent."
"49","14","[[14]](#source-14)","Decision-Focused Learning у повному сенсі може означати навчання моделі через differentiable optimization layer або task-aware surrogate loss. Smart Predict-then-Optimize у Elmachtoub and Grigas (2022) формалізує проблему розриву між prediction loss і downstream objective [[12]](#source-12). Mandi et al. (2024) систематизують DFL як напрям, у якому learning model і constrained optimization problem поєднуються через decision loss, differentiable optimization, surrogate gradients або gradient-free methods [[14]](#source-14).","Mandi et al. Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities. DOI: 10.1613/jair.1.15320 / arXiv:2307.13565. https://arxiv.org/abs/2307.13565","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"50","13","[[13]](#source-13)","Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [[13]](#source-13), [[37]](#source-37), [[38]](#source-38).","Sang et al. Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach. DOI: 10.1109/TSG.2022.3166791 / arXiv:2305.00362. https://doi.org/10.1109/TSG.2022.3166791","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"51","37","[[37]](#source-37)","Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [[13]](#source-13), [[37]](#source-37), [[38]](#source-38).","Persak and Anjos. Decision-Focused Forecasting: A Differentiable Multistage Optimisation Architecture. arXiv:2405.14719. https://arxiv.org/abs/2405.14719","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"52","38","[[38]](#source-38)","Для storage arbitrage ця логіка особливо важлива, бо рішення є multistage: charge/discharge у поточну годину змінює SOC і майбутні feasible actions. Sang et al. (2022/2023) безпосередньо пов'язують electricity price prediction з ESS arbitrage regret, Persak and Anjos (2024) підкреслюють multistage structure, а Yi, Alghumayjan, and Xu (2024) показують perturbed DFL для strategic energy storage [[13]](#source-13), [[37]](#source-37), [[38]](#source-38).","Yi, Alghumayjan, and Xu. Perturbed Decision-Focused Learning for Modeling Strategic Energy Storage. arXiv:2406.17085. https://arxiv.org/abs/2406.17085","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"53","39","[[39]](#source-39)","Distributional RL для energy arbitrage розглядається як risk-sensitive future context, а не як поточний production-facing метод рекомендаційного preview (Madahi et al., 2024 [[39]](#source-39)).","Madahi et al. Distributional Reinforcement Learning-based Energy Arbitrage Strategies in Imbalance Settlement Mechanism. arXiv:2401.00015. https://arxiv.org/abs/2401.00015","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"54","40","[[40]](#source-40)","У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [[40]](#source-40), [[41]](#source-41). Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [[42]](#source-42).","Agrawal et al. Differentiable Convex Optimization Layers. DOI: 10.48550/arXiv.1910.12430. https://arxiv.org/abs/1910.12430","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"55","41","[[41]](#source-41)","У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [[40]](#source-40), [[41]](#source-41). Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [[42]](#source-42).","Amos and Kolter. OptNet: Differentiable Optimization as a Layer in Neural Networks. Proceedings of Machine Learning Research 70:136-145. https://proceedings.mlr.press/v70/amos17a.html","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"56","42","[[42]](#source-42)","У роботі цей напрям використовується обережно. Головний результат є schedule/value selector з regret-aware evaluation, а не повний differentiable predict-then-bid stack. Диференційовані оптимізаційні шари Agrawal et al. (2019) та OptNet Amos and Kolter (2017) підтримують roadmap, але не доводять наявність deployed DFL controller [[40]](#source-40), [[41]](#source-41). Predict-then-bid framework Yi et al. (2025) також використовується як цільова дослідницька траєкторія, а не як опис поточного market-execution стану [[42]](#source-42).","Yi et al. A Decision-Focused Predict-then-Bid Framework for Strategic Energy Storage. DOI: 10.48550/arXiv.2505.01551. https://arxiv.org/abs/2505.01551","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"57","20","[[20]](#source-20)","Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може умовлювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [[20]](#source-20). Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [[21]](#source-21). Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [[43]](#source-43).","Chen et al. Decision Transformer: Reinforcement Learning via Sequence Modeling. DOI: 10.48550/arXiv.2106.01345. https://arxiv.org/abs/2106.01345","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"58","21","[[21]](#source-21)","Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може умовлювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [[20]](#source-20). Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [[21]](#source-21). Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [[43]](#source-43).","Bhargava et al. When should we prefer Decision Transformers for Offline Reinforcement Learning? arXiv:2305.14550. https://arxiv.org/abs/2305.14550","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"59","43","[[43]](#source-43)","Decision Transformer є привабливим напрямом для sequence-policy tasks, бо він може умовлювати дії на return-to-go та історію станів. Chen et al. (2021) формулюють Decision Transformer як return-conditioned sequence modeling для offline reinforcement learning [[20]](#source-20). Bhargava et al. (2023) додатково показують, що переваги DT залежать від якості, обсягу й структури offline trajectories [[21]](#source-21). Практичну implementation reference для майбутніх експериментів дає офіційна документація Hugging Face Transformers [[43]](#source-43).","Hugging Face. Decision Transformer model documentation. https://huggingface.co/docs/transformers/model_doc/decision_transformer","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"60","44","[[44]](#source-44)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","ENTSO-E Transparency Platform. Electricity Market Transparency. https://www.entsoe.eu/data/transparency-platform/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"61","45","[[45]](#source-45)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","Open Power System Data. Open European power-system data platform. https://open-power-system-data.org/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"62","46","[[46]](#source-46)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","Open Power System Data. Time series data package. https://data.open-power-system-data.org/time_series/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"63","47","[[47]](#source-47)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","Nord Pool. Data Portal and market-data services. https://www.nordpoolgroup.com/en/services/power-market-data-services/dataportalregistration/","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"64","48","[[48]](#source-48)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","Ember. API for open electricity data. https://ember-energy.org/data/api","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
"65","1","[[1]](#source-1)","У роботі тому використано обережний словник. DAM/IDM rows можуть бути частиною hourly recommendation preview, але explicit OREE DAM/IDM source/publication evidence потрібна для сильніших source-readiness claims; market-submission receipts залишаються окремими для execution contour. EU/Poland/ENTSO-E контексти можуть бути корисними як governance або shadow lanes, але вони не перетворюються автоматично на українські training targets. Такий підхід спирається на офіційні джерела про дані й ринкову інтеграцію: ENTSO-E Transparency Platform, OPSD, Nord Pool, Ember, ACER, European Commission і Ukrainian market/operator sources [[44]](#source-44), [[45]](#source-45), [[46]](#source-46), [[47]](#source-47), [[48]](#source-48), [[1]](#source-1), [[2]](#source-2), [[3]](#source-3), [[4]](#source-4), [[8]](#source-8).","European Commission. Electricity market design. https://energy.ec.europa.eu/topics/markets-and-consumers/electricity-market-design_en","supported-topic-consistent","none","Citation context matches the cited source topic and no wrong-source/unsupported issue was found in this pass."
